text,Author_num
"['_can', '_be', 'helped.', 'The', 'struggler', 'whom', 'you', '_could\n_help', 'does', 'his', 'own', 'helping;', 'it', 'would', 'not', 'occur', 'to', 'him', 'to', 'apply', 'to', 'you,\nstranger.', 'He', 'has', 'talent']",3
"['more', 'detached', 'frame', 'of', 'mind,', 'he', 'would', 'have', 'found', 'an', 'extreme\ninterest', 'in', 'studying', 'and', 'classifying', 'Miss', 'Painter.', 'It', 'was', 'not', 'that', 'she\nsaid', 'anything', 'remarkable,', 'or']",2
"['at', 'the\nworld.', 'We', 'are', 'not', 'miserable.', 'Why', 'should', 'we', 'be?', 'We', 'eat', 'and', 'drink,', 'and\nsleep', 'all', 'night;', 'but', 'the', 'dead', 'are', 'not', 'colder.\n\nAnd', 'we', 'say']",0
"['fellow,’', 'said', 'he.\n\n“‘God', 'bless', 'you,’', 'said', 'I.\n\n“By', 'this', 'time', 'the', 'bears', 'were', 'sitting', 'in', 'a', 'circle', 'all', 'around', 'the', 'tree.\nYes,”', 'said', 'Bonaparte', 'impressively,', 'fixing', 'his']",0
"['shall\nwe', 'drive', 'out', 'somewhere?', 'Or', 'would', 'you', 'rather', 'take', 'a', 'boat', 'to', 'Bellevue?\nHave', 'you', 'ever', 'dined', 'there,', 'on', 'the', 'terrace,', 'by', 'moonlight?', 'It’s', 'not', 'at']",2
"['finished,', 'and', 'this', 'night', 'would', 'find', 'me', 'soliciting', 'your\nforgiveness.”\n\n“Dismiss', 'thy', 'fears', 'and', 'thy', 'doubts,”', 'replied', 'Elfonzo.\n\n“Look,', 'O!', 'look:', 'that', 'angelic', 'look', 'of', 'thine--bathe', 'not', 'thy']",3
"['feeling\nof', 'self', 'again.\n\nIII.\n\nAnd', 'then', 'a', 'new', 'time', 'rises.', 'We', 'are', 'seven', 'years', 'old.', 'We', 'can', 'read', 'now--read\nthe', 'Bible.', 'Best', 'of', 'all', 'we', 'like', 'the', 'story']",0
"['streets', 'of\nstony', 'villages,', 'coming', 'out', 'on', 'low', 'slopes', 'above', 'the', 'river,', 'or', 'winding\nthrough', 'the', 'pale', 'gold', 'of', 'narrow', 'wood-roads', 'with', 'the', 'blue', 'of', 'clear-cut\nhills', 'at']",2
"['but', 'it', 'was\neasy', 'enough', 'to', 'give', 'her', 'a', 'few', 'more', 'hours', 'of', 'pleasure.', 'And', 'did', 'she', 'not\nperhaps', 'secretly', 'expect', 'it', 'of', 'him?', 'After', 'all,', 'if']",2
"['hundred_', 'people', 'had', 'really', 'lost', 'their', 'lives', 'by', 'those', 'disasters\nin', 'the', 'preceding', 'twelve', 'months.', 'The', 'Erie', 'road', 'was', 'set', 'down', 'as', 'the', 'most\nmurderous', 'in', 'the']",3
"['knows', 'I\nam', 'happy', 'now.', 'Happy,', 'and', 'grateful', 'to', 'you,', 'my', 'own,', 'who', 'have', 'done', 'it', 'all.\nWhen', 'is', 'it', 'to', 'be?”\n\n“Next', 'Sunday.”\n\n“Good.', 'And', ""we'll"", 'want', 'to']",3
"['hai', 'un', 'cane_,', 'thou', 'hast', 'a', 'dog.”\n\n_“Egli', 'ha', 'un', 'cane,', '_he', 'has', 'a', 'dog.”\n\n_“Noi', 'abbiamo', 'un', 'cane_,', 'we', 'have', 'a', 'dog.”\n\n“_Voi', 'avete', 'un', 'cane_,', 'you']",3
"['own', 'interest', 'in', 'you.', 'Why', 'not', 'put', 'it', 'that', 'our', 'friendship\ngives', 'me', 'the', 'right', 'to', 'intervene', 'for', 'what', 'I', 'believe', 'to', 'be', 'your', 'benefit?”\n\nShe', 'took']",2
"['wire.', 'It', 'means', ""something--that's"", 'sure.', 'In', 'the', 'mean\ntime,', 'sit', 'square', 'in', 'your', 'saddles,', 'ride', 'your', 'range,', 'and', 'let', 'the', 'idea', 'run\nriot', 'that', 'you', 'are', 'cowmen.']",1
"['Gregory', 'kept', 'a', 'little\nduster', 'folded', 'in', 'the', 'corner', 'of', 'his', 'table-drawer,', 'just', 'as', 'he', 'had', 'seen', 'his\nmother', 'do,', 'and', 'every', 'morning', 'before', 'he', 'went', 'out']",0
